Author,Title,New price,Old price,Stock
No data,Bhagavadgyta,13.45 €,15.79 €, Turime sandėlyje.
Danguolė Kandrotienė,Pasaiba ir sapnų knyga. 5 dalis,10.69 €,13.29 €, Turime sandėlyje.
Johan Huizinga,Sužalotas pasaulis,20.59 €,25.75 €, Turime sandėlyje.
No data,Transporto priemonės su 5 dėlion...,8.09 €,10.09 €, Turime sandėlyje.
Rasa Andrikienė,Gyvenimas be šešėlio. Psichotera...,8.33 €,13.89 €, Turime sandėlyje.
Mats Strandberg,Monstriukas naktį,8.36 €,9.29 €, Turime sandėlyje.
Alice Miller,Gabaus vaiko drama ir tikrosios...,13.39 €,16.69 €, Turime sandėlyje.
Alex Michaelides,Mergelės,16.73 €,18.59 €, Turime sandėlyje.
"Irvin D. Yalom, Ma...",Mirties ir gyvenimo klausimas,15.29 €,19.09 €, Turime sandėlyje.
T.I. Lowe,Po magnolijomis,22.04 €,24.49 €, Turime sandėlyje.
Stefan Zweig,Širdies nerimas,15.29 €,19.09 €, Turime sandėlyje.
Judith Lewis Herman,Trauma ir išgijimas: prievartos...,17.19 €,21.49 €, Turime sandėlyje.
Kimberly Belle,Atsisveikinimas,13.39 €,15.69 €, Turime sandėlyje.
Janice Preston,Atskleisti grafo paslaptį,9.39 €,11.69 €, Turime sandėlyje.
Alejandro Zambra,Čilės poetas,13.99 €,16.49 €, Turime sandėlyje.
Michio Kaku,Dieviškoji lygtis: visko teorijo...,17.59 €,21.99 €, Turime sandėlyje.
Michelle Douglas,Įsimylėti Singapūre per dvi sava...,2.79 €,3.45 €, Turime sandėlyje.
Virginia Heath,Jo širdies įsibrovėlė,9.39 €,11.69 €, Turime sandėlyje.
Amanda Cinelli,Laikytis duoto pažado,2.79 €,3.45 €, Turime sandėlyje.
Dani Wade,Meilė ištiko netikėtai. Žavingi...,2.79 €,3.45 €, Turime sandėlyje.
David Madsen,Neūžaugos gnostiko atsiminimai,15.19 €,18.99 €, Turime sandėlyje.
Kira Sinclair,Prislėgti paslapčių,2.79 €,3.45 €, Turime sandėlyje.
Meg Mason,"Regis, man ne viskas gerai",13.15 €,16.45 €, Turime sandėlyje.
Serhii Plokhy,"Žmogus, šaudantis nuodais. Šalto...",13.49 €,17.99 €, Turime sandėlyje.
No data,LEGO® City. Ekstremalūs nuotykiai!,5.39 €,6.35 €, Turime sandėlyje.
Fotini Tsalikoglou,Bertos dovana,13.59 €,15.99 €, Turime sandėlyje.
Waris Dirie,"DYKUMŲ GĖLĖ: knyga, šokiravusi p...",5.75 €,9.59 €, Turime sandėlyje.
Rachel K. Thomas,Gera savijauta: praktiniai patar...,15.35 €,19.19 €, Turime sandėlyje.
Paul Rutter,Vaistininko vadovas,26.79 €,31.49 €, Turime sandėlyje.
Juzefas Ignacas Kr...,Vilnius nuo jo pradžios iki 1750...,14.59 €,17.19 €, Liko vos keli vienetai.
No data,Kakė Makė ir katinas vienai sava...,4.31 €,4.79 €, Turime sandėlyje.
Juozas Urbšys,Lietuva lemtingaisiais 1939–1940...,26.09 €,34.79 €, Papildymas pakeliui.
Maria Turtschaninoff,Maresi. Raudonojo vienuolyno kro...,12.35 €,16.19 €, Turime sandėlyje.
No data,Muzika prieš miegą,13.49 €,17.99 €, Turime sandėlyje.
"John D. Gatford, N...",Naudingų skaičiavimų slaugytojom...,14.59 €,17.09 €, Turime sandėlyje.
Tommi Kinnunen,"Nesakė, kad gailisi",14.66 €,16.29 €, Turime sandėlyje.
"Susan Forward, Cra...",Pinigų demonai: neleiskite jiems...,15.26 €,20.35 €, Turime sandėlyje.
"Erica Slotter, Pat...",Velniop skyrybas. Kaip atsigauti...,12.29 €,16.39 €, Turime sandėlyje.
No data,2021 finansinės ataskaitos,49.03 €,61.29 €, Turime sandėlyje.
No data,Algimantas Zurba: nuo Apaščios l...,15.89 €,21.19 €, Turime sandėlyje.
Benjamin Alire Sáenz,Aristotelis ir Dantė atskleidžia...,11.51 €,19.19 €, Išsiųsime per 3–4 d.d.
Jerold J. Kreisman...,Aš nekenčiu tavęs! Nepalik manęs...,10.57 €,14.09 €, Turime sandėlyje.
Valdis Celms,Baltų raštai ir ženklai,27.59 €,32.39 €, Turime sandėlyje.
Tuutikki Tolonen,Baubų kelias,11.99 €,14.09 €, Turime sandėlyje.
Sabine Bohlmann,"Ei, tėti… Ar dešimt yra daug?",8.49 €,9.99 €, Turime sandėlyje.
No data,Kur tas Micius?,11.99 €,14.09 €, Turime sandėlyje.
Ellie Irving,Matildos efektas,14.69 €,17.29 €, Turime sandėlyje.
Louisa May Alcott,Mažosios moterys,20.32 €,26.69 €, Turime sandėlyje.
Štĕpánka Sekaninov...,Pasaulį pakeitusios transporto p...,10.69 €,12.59 €, Turime sandėlyje.
Terry Lynn Johnson,Šunų kinkiniais,14.69 €,17.29 €, Turime sandėlyje.
Elvina Baužaitė,Tiesos vertikalė. Knyga apie Vyt...,16.84 €,22.45 €, Turime sandėlyje.
Edita Lei,Balamutikai,11.36 €,15.15 €, Turime sandėlyje.
Vygintas Bronius P...,Kazys Pakštas ir atsarginė Lietuva,21.35 €,25.09 €, Liko vos keli vienetai.
Eric Weiner,Laimės geografija: kaip vienas b...,15.22 €,20.29 €, Turime sandėlyje.
Stacey Vanek Smith,Machiavellis moterims: kaip apgi...,16.12 €,21.49 €, Turime sandėlyje.
Frank Tallis,Pats gyvenimas: ko didieji psich...,15.29 €,20.39 €, Turime sandėlyje.
Greta Dirmauskaitė,pãžeme,8.92 €,11.89 €, Turime sandėlyje.
John Perry,Prokrastinacijos menas: produkty...,12.25 €,14.39 €, Papildymas pakeliui.
Rene Descartes,Rinktinė. Proto vadovavimo taisy...,15.97 €,21.29 €, Turime sandėlyje.
Friedrich Nietzsche,Štai taip Zaratustra kalbėjo: kn...,15.47 €,17.19 €, Turime sandėlyje.
Jack London,Baltoji iltis,7.73 €,12.89 €, Turime sandėlyje.
Kristan Higgins,GYVENIMAS IR KITOS BĖDOS. Šeimos...,14.99 €,18.69 €, Turime sandėlyje.
Lars Mytting,Heknių audinys,17.27 €,19.19 €, Turime sandėlyje.
No data,Kalėdų garsai: skaityk knygelę i...,12.11 €,16.15 €, Turime sandėlyje.
No data,Keliauk! Žiema 2021/2022,No data,No data, Turime sandėlyje.
Tess Gerritsen,"Mefisto klubas. Ricoli ir Ailz, #6",10.64 €,14.19 €, Turime sandėlyje.
Pierre Lemaitre,Mūsų skausmų veidrodis,24.47 €,27.19 €, Turime sandėlyje.
Veera Hiranandani,Nakties dienoraštis,9.97 €,13.29 €, Turime sandėlyje.
Linda Chapman,Nauji namai Lunai,6.83 €,7.59 €, Turime sandėlyje.
Tess Gerritsen,"Relikvija. Ricoli ir Ailz, #7",10.64 €,14.19 €, Turime sandėlyje.
J.R.R. Tolkien,Silmariljonas,9.35 €,15.59 €, Turime sandėlyje.
Helle Amin,Susitikę dykumoje,8.33 €,13.89 €, Išsiųsime per 3–4 d.d.
Louise Gluck,Viltinga ir skaisti naktis,20.15 €,22.39 €, Turime sandėlyje.
Eglė Zakaraitė,„Lady Box“. „Kaip tapti dama“ kn...,No data,No data, Turime sandėlyje.
ses. Rima Malickaitė,Dvi karalienės,12.89 €,17.19 €, Turime sandėlyje.
No data,Kalėdiniai pasakojimai: 6 knygel...,13.61 €,18.15 €, Turime sandėlyje.
Selemonas Paltanav...,Mūsų miestelio indėnai,12.86 €,17.15 €, Turime sandėlyje.
Ant Middleton,Nulis negatyvumo. Pozityvaus mąs...,11.19 €,13.19 €, Turime sandėlyje.
Kazimiera Kazijevaitė,Ruduo Žirgynėje,12.86 €,17.15 €, Turime sandėlyje.
Arden Moore,Šunys. Vadovas vaikams,10.09 €,11.89 €, Turime sandėlyje.
Māris Bērziņš,Švino skonis,15.14 €,20.19 €, Turime sandėlyje.
Vilma Kava,Tiesiog atsitiko,13.64 €,18.19 €, Turime sandėlyje.
Lina Vėželienė,"Vidurio amžiaus paauglystė, arba...",13.33 €,18.19 €, Turime sandėlyje.
No data,Vienaragių istorijos. 5 minučių...,5.99 €,7.89 €, Turime sandėlyje.
Natalie Goldberg,Apie rašymą: kaip išlaisvinti vi...,10.27 €,13.69 €, Turime sandėlyje.
"Romana Romanyšyn,...","Garsiai, tyliai, kuždomis",15.74 €,20.99 €, Turime sandėlyje.
Andrej Tarkovskij,Įamžintas laikas,18.22 €,24.29 €, Turime sandėlyje.
"Vaidas Čeponis, Gi...",Įdomiausi Lietuvos rekordai,29.79 €,34.99 €, Turime sandėlyje.
"Nida Poderienė, Au...",Įveikti atskirtį: grįžusių iš už...,11.29 €,14.09 €, Turime sandėlyje.
Rimantas Kėvalas,Ką mes padarėme savo vaikams,13.32 €,18.15 €, Turime sandėlyje.
Marius Jonutis,Kaimo pasaka,10.04 €,13.39 €, Turime sandėlyje.
Vaiva Rykštaitė,Kaip būti,14.82 €,20.15 €, Turime sandėlyje.
Thomas Bernhard,Kalkinė,12.74 €,16.99 €, Turime sandėlyje.
Charles Bukowski,Paprastos beprotybės istorijos (...,12.59 €,16.79 €, Turime sandėlyje.
"Steven Kotler, Jam...",PAVOGTI UGNĮ. Kaip Silicio slėni...,12.99 €,16.19 €, Turime sandėlyje.
Audronė Kvietkutė,Rytės ratai,9.82 €,13.09 €, Turime sandėlyje.
Māra Zālīte,Rojaus paukščiai,13.87 €,18.49 €, Turime sandėlyje.
Sergejus Saveljevas,Smegenų rūšiavimas,14.99 €,17.69 €, Turime sandėlyje.
Natalija Zubareva,Žarnynas – organizmo variklis: o...,8.39 €,16.15 €, Turime sandėlyje.
